State,"Typical home value, March 2023"
Alabama,"$206,044 "
Alaska,"$345,363 "
Arizona,"$409,038 "
Arkansas,"$178,744 "
California,"$728,134 "
Colorado,"$539,640 "
Connecticut,"$358,906 "
Delaware,"$358,686 "
District of Columbia,"$627,158 "
Florida,"$383,063 "
Georgia,"$306,278 "
Hawaii,"$834,583 "
Idaho,"$435,374 "
Illinois,"$236,049 "
Indiana,"$222,592 "
Iowa,"$200,038 "
Kansas,"$210,742 "
Kentucky,"$190,037 "
Louisiana,"$182,959 "
Maine,"$351,375 "
Maryland,"$387,872 "
Massachusetts,"$558,313 "
Michigan,"$218,684 "
Minnesota,"$315,122 "
Mississippi,"$162,292 "
Missouri,"$227,347 "
Montana,"$427,886 "
Nebraska,"$243,012 "
Nevada,"$412,244 "
New Hampshire,"$429,421 "
New Jersey,"$451,559 "
New Mexico,"$279,763 "
New York,"$411,304 "
North Carolina,"$309,861 "
North Dakota,"$242,261 "
Ohio,"$205,800 "
Oklahoma,"$188,453 "
Oregon,"$485,475 "
Pennsylvania,"$243,859 "
Rhode Island,"$413,948 "
South Carolina,"$273,977 "
South Dakota,"$284,308 "
Tennessee,"$291,354 "
Texas,"$294,336 "
Utah,"$506,072 "
Vermont,"$332,149 "
Virginia,"$360,873 "
Washington,"$562,936 "
West Virginia,"$146,578 "
Wisconsin,"$262,652 "
Wyoming,"$325,091 "
