State,Overall Score,Quality Rank,Safety Rank
Massachusetts,73.14,1,1
Connecticut,67.5,2,9
New Jersey,64.36,3,19
Virginia,61.71,5,2
New Hampshire,61.57,4,12
Maryland,60.24,8,4
Delaware,58.07,16,3
Nebraska,57.81,12,8
Wisconsin,57.48,6,28
Vermont,57.43,15,6
Rhode Island,57.21,13,10
Minnesota,57,7,36
Maine,56.87,18,7
New York,56.42,11,16
Illinois,56.27,9,24
Utah,55.87,17,15
North Dakota,55.3,10,31
Florida,55.22,14,20
Kentucky,54.18,23,14
Iowa,53.71,22,18
Colorado,53.7,20,23
Indiana,53.31,25,11
Wyoming,53.07,24,22
Pennsylvania,52.86,19,33
South Dakota,52.43,21,35
Washington,51.31,27,5
Montana,50.33,26,37
Texas,49.86,31,13
Kansas,47.47,28,41
Ohio,47.43,33,26
Tennessee,46.93,30,44
Georgia,46.22,36,27
North Carolina,46.06,37,29
Michigan,45.92,32,43
Missouri,45.88,29,50
Idaho,45.2,34,42
Arkansas,43.84,39,40
Nevada,43.64,38,46
Hawaii,43.09,40,32
California,42.42,35,51
Oregon,40.96,41,39
South Carolina,38.94,42,48
West Virginia,38.47,44,17
Mississippi,38.22,43,38
Oklahoma,37.15,45,25
Alabama,37.02,47,21
Alaska,36.43,46,30
Arizona,35.13,48,34
Louisiana,33.37,49,45
New Mexico,25.26,50,49
