Overall Rank ,State,Total Score ,Entertainment & Recreation ,Nightlife 
1,California,65,1,4
2,Florida,62,2,11
3,Nevada,58,4,1
4,New York,56,3,8
5,Illinois,53,7,2
6,Colorado,52,6,7
7,Texas,52,5,13
8,Washington,51,8,9
9,Minnesota,46,10,5
10,Louisiana,44,15,6
11,Arizona,43,9,23
12,Oregon,42,14,16
13,Ohio,42,18,12
14,Pennsylvania,42,21,10
15,North Carolina,41,12,25
16,Missouri,41,20,14
17,Wisconsin,41,25,3
18,Maryland,40,11,32
19,South Carolina,39,16,28
20,Alaska,39,13,38
21,Georgia,38,17,30
22,Michigan,36,26,21
23,Utah,36,19,46
24,Virginia,36,22,42
25,Tennessee,36,30,19
26,Hawaii,35,23,39
27,Oklahoma,35,31,20
28,Massachusetts,35,29,24
29,South Dakota,35,33,17
30,Alabama,34,24,40
31,New Mexico,34,27,31
32,Montana,33,38,15
33,Idaho,33,32,29
34,Iowa,33,36,18
35,Wyoming,33,28,45
36,New Jersey,32,34,27
37,Nebraska,31,35,26
38,Kansas,30,37,35
39,Indiana,30,42,22
40,North Dakota,29,41,33
41,Maine,28,39,47
42,Kentucky,28,43,34
43,Connecticut,25,44,44
44,New Hampshire,25,40,50
45,Vermont,23,45,41
46,Arkansas,23,46,48
47,Rhode Island,22,48,37
48,Delaware,21,47,49
49,West Virginia,19,50,36
50,Mississippi,19,49,43
